inv	class	pvalue	obs	mean_enrich	median_enrich	lower95_enrich	upper95_enrich	lower90_enrich	upper90_enrich	mean_obs_grt_perm	pvalue_obs_grt_perm	chrom	pvaluelabel	sig_lower90
In(2R)NS	exterior	0.562341325190349	0.598121359794926	0.995506262175185	0.995543321402147	0.98676793175131	1.00466818454532	0.987877216293668	1.00292880378631	74	0.852295409181637	2R		
In(2R)NS	exterior	0.316227766016838	0.364541345483202	0.997928543320835	0.998494442254876	0.979934446276125	1.01447389576025	0.982626516831111	1.01205590568198	214	0.572854291417166	2R		
In(2R)NS	exterior	0.177827941003892	0.22050924374315	0.986829894513311	0.987628415178597	0.958306495175586	1.01208720710686	0.964890894654908	1.00780902420338	78	0.844311377245509	2R		
In(2R)NS	exterior	0.1	0.135282022482088	0.986445448232928	0.98695888150567	0.9486973468095	1.01914036944875	0.954800743888178	1.0158493487229	121	0.758483033932136	2R		
In(2R)NS	exterior	0.0562341325190349	0.0828087210934882	0.981368320708997	0.982376961100365	0.932651777814582	1.02628497665347	0.940895990650135	1.01887927708101	107	0.786427145708583	2R		
In(2R)NS	exterior	0.0316227766016838	0.0508790840496744	0.979307207395876	0.979842854539532	0.916076621686334	1.03606515811192	0.926667663402726	1.02971699440672	126	0.748502994011976	2R		
In(2R)NS	exterior	0.0177827941003892	0.0311868766927237	0.974104713388868	0.975630566059394	0.900114329089659	1.04081015719468	0.912491101626343	1.03391613961991	115	0.770459081836327	2R		
In(2R)NS	exterior	0.01	0.0191849563854745	0.97121235462686	0.972224246634752	0.887114586141912	1.05692291715281	0.897084822727974	1.04545138112973	129	0.74251497005988	2R		
In(2R)NS	exterior	0.00562341325190349	0.0118479334051939	0.973097739729737	0.971403078642053	0.865631848040582	1.08104179018766	0.884942569277713	1.05580862670929	157	0.686626746506986	2R		
In(2R)NS	exterior	0.00316227766016838	0.00745477767008759	0.992921671208943	0.993961352657005	0.867195523184203	1.11901005185088	0.88678965119215	1.09159331151096	230	0.540918163672655	2R		
In(2R)NS	exterior	0.00177827941003892	0.00444750405347875	0.959648301466027	0.958980031734323	0.821652615504997	1.11336910401621	0.839244625302646	1.08866319786751	141	0.718562874251497	2R		
In(2R)NS	exterior	0.001	0.00252719680431888	0.885524137668337	0.882907393675942	0.738074846692452	1.04515416339356	0.762301986876514	1.01474851237707	32	0.936127744510978	2R		
In(2R)NS	exterior	0.000562341325190349	0.00144928848993197	0.825400507303773	0.820501672139821	0.670783197680313	1.00330140398113	0.680856922655598	0.975610197953808	15	0.970059880239521	2R		
In(2R)NS	exterior	0.000316227766016838	0.000887689200083334	0.820772315799381	0.809921023509091	0.640522875816994	1.04844806922128	0.662149866467161	0.990421076863436	23	0.954091816367265	2R		
In(2R)NS	exterior	0.000177827941003892	0.00054348318372449	0.81870678796706	0.800003623221225	0.608995510482713	1.10151984523356	0.631239696464642	1.01781708184587	33	0.934131736526946	2R		
In(2R)NS	exterior	1e-04	0.000353264069420919	0.880337258162973	0.866658816354013	0.600002309803531	1.25808189444212	0.639332679866576	1.18181818181818	95	0.810379241516966	2R		
In(2R)NS	exterior	0.003894319	0.00884971784164712	0.989314798415671	0.990872210953347	0.873418459448655	1.11342769313153	0.884971383362273	1.08200805257479	220	0.560878243512974	2R		
In(3L)P	exterior	1	1	1	1	1	1	1	1	0	1	3L		
In(3L)P	exterior	0.562341325190349	0.593596371882086	0.995214621574747	0.995276159476215	0.98246882227629	1.00736832678169	0.985727481551285	1.00527775171373	108	0.784431137724551	3L		
In(3L)P	exterior	0.316227766016838	0.357133786848073	0.993130462154151	0.992567437416155	0.968242367290449	1.01594265036531	0.973817360587305	1.01227554250921	144	0.712574850299401	3L		
