region	concord	N	jointquantile	se	inv	class	chrom	lower95	upper95	binom_p	binom_lowerCI	binom_upperCI	pvaluelabel
In(2R)NS_interior	0.580246913580247	162	0.1	0.038774469204671	In(2R)NS	interior	2R	0.504248953939092	0.656244873221402	0.0245862969393038	0.512666507048192	1	*
In(3L)P_interior	0.513333333333333	750	0.1	0.0182509259024384	In(3L)P	interior	3L	0.477561518564554	0.549105148102112	0.243922081617445	0.482646513460816	1	
In(3R)K_interior	0.682107947301318	2353	0.1	0.00959965060654962	In(3R)K	interior	3R	0.663292632112481	0.700923262490155	1.43080326386052e-71	0.665943185119504	1	*
In(3R)Mo_interior	0.712217194570136	1105	0.1	0.0136193853831989	In(3R)Mo	interior	3R	0.685523199219066	0.738911189921206	1.04727223649357e-46	0.688959711241812	1	*
In(3R)P_interior	0.693050193050193	1554	0.1	0.0117001254809429	In(3R)P	interior	3R	0.670117947107545	0.715982438992841	9.09479654852168e-54	0.673223353865074	1	*
In(3R)KMoP_bkpts	0.765524625267666	934	0.1	0.0138629214987374	In(3R)KMoP	bkpts	3R	0.738353299130141	0.792695951405191	2.52624721015906e-62	0.74158094115232	1	*
In(3R)KMoP_exterior	0.613259668508287	362	0.1	0.0255963269706923	In(3R)KMoP	exterior	3R	0.56309086764573	0.663428469370844	9.5843889153043e-06	0.569194800421639	1	*
In(3R)KMoP_interior	0.646999495713565	1983	0.1	0.010731941011387	In(3R)KMoP	interior	3R	0.625964891331246	0.668034100095883	6.89725467735369e-40	0.628941777947913	1	*
all_bkpts	0.760678391959799	1592	0.1	0.0106935022292943	all	bkpts	all	0.739719127590382	0.781637656329216	5.8474209578593e-101	0.742426037698177	1	*
all_exterior	0.556786703601108	2166	0.1	0.010673862205991	all	exterior	all	0.535865933677366	0.57770747352485	6.83273308043872e-08	0.538949675625161	1	*
all_interior	0.675913396481732	4434	0.1	0.00702875203687105	all	interior	all	0.662137042489465	0.689689750473999	4.16675192421012e-124	0.664155834018429	1	*
all_all	0.660888671875	8192	0.1	0.00523046536900445	all	all	all	0.650636959751751	0.671140383998249	5.99659939416966e-190	0.652182871062221	1	*
2L_all	0.773488710852149	2746	0.1	0.00798769823093997	2L	all	2L	0.757832822319507	0.789144599384791	6.90976634319497e-191	0.759955070881146	1	*
2R_all	0.523609653725079	953	0.1	0.0161785221663434	2R	all	2R	0.491899750279046	0.555319557171112	0.0770167151106595	0.496446501328183	1	
3L_all	0.470345963756178	1214	0.1	0.0143250290210323	3L	all	3L	0.442268906874955	0.498423020637401	0.981942499376316	0.446443489570917	1	
3R_all	0.677035681610247	3279	0.1	0.00816605578255827	3R	all	3R	0.661030212276433	0.693041150944061	1.67603871386881e-93	0.663337823891922	1	*
